Clé;Date mutation;Nature mutation;Valeur fonciere
5731;09/01/2020;Vente;83980
5732;06/01/2020;Vente;188900
5733;07/01/2020;Vente;371500
5734;09/01/2020;Vente;158500
5735;02/01/2020;Vente;122500
5737;16/01/2020;Vente;176000
5738;15/01/2020;Vente;262830
5740;20/01/2020;Vente;92860
5741;20/01/2020;Vente;139500
5742;17/01/2020;Vente;275500
5743;22/01/2020;Vente;98500
5745;22/01/2020;Vente;361550
5747;15/01/2020;Vente;154670
5748;13/01/2020;Vente;316200
5749;09/01/2020;Vente;102500
5750;28/01/2020;Vente;323100
5751;13/01/2020;Vente;90197
5752;17/01/2020;Vente;642500
5753;31/01/2020;Vente;215380
5754;16/01/2020;Vente;231000
5756;15/01/2020;Vente;159262
5757;16/01/2020;Vente;131788,5
5758;24/01/2020;Vente;161000
5759;24/01/2020;Vente;281400
5760;31/01/2020;Vente;783265
5762;24/01/2020;Vente;580000
5767;04/02/2020;Vente;235400
5768;27/01/2020;Vente;204354
5769;31/01/2020;Vente;92400
5770;29/01/2020;Vente;113000
5771;12/02/2020;Vente;136580
5772;29/01/2020;Vente;115050
5773;10/02/2020;Vente;298000
5774;14/02/2020;Vente;204920
5775;05/02/2020;Vente;126920
5776;07/02/2020;Vente;545000
5777;22/01/2020;Vente;58850
5778;06/02/2020;Vente;131600
5779;05/02/2020;Vente;92230
5780;10/02/2020;Vente;184000
5781;07/02/2020;Vente;258250
5782;31/01/2020;Vente;216315
5783;04/02/2020;Vente;172250
5784;05/02/2020;Vente;223200
5785;18/02/2020;Vente;63500
5786;12/02/2020;Vente;404900
5787;14/02/2020;Vente;143000
5788;21/02/2020;Vente;191210
5789;14/02/2020;Vente;188577
5790;20/02/2020;Vente;202736
5791;20/02/2020;Vente;147000
5792;18/02/2020;Vente;157300
5793;24/02/2020;Vente;123000
5794;06/02/2020;Vente;204870
5796;10/02/2020;Vente;192450
5797;17/02/2020;Vente;81150
5798;11/02/2020;Vente;132000
5799;21/02/2020;Vente;152250
5800;07/02/2020;Vente;83472,3
5801;02/03/2020;Vente;90500
5803;27/02/2020;Vente;80100
5804;12/02/2020;Vente;188000
5805;12/02/2020;Vente;331000
5806;12/02/2020;Vente;184250
5807;27/02/2020;Vente;78224,26
5808;10/02/2020;Vente;66972
5809;25/02/2020;Vente;183750
5810;09/03/2020;Vente;259400
5811;22/04/2020;Vente;125500
5812;29/04/2020;Vente;113142
5813;07/05/2020;Vente;63000
5814;30/04/2020;Vente;67000
5815;24/04/2020;Vente;257548
5816;30/04/2020;Vente;236320
5818;29/04/2020;Vente;159000
5820;29/04/2020;Vente;136000
5821;21/04/2020;Vente;237000
5822;25/02/2020;Vente;106900
5823;12/05/2020;Vente;74400
5824;14/05/2020;Vente;302150
5826;11/05/2020;Vente;399000
5827;15/05/2020;Vente;150540
5828;20/05/2020;Vente;62500
5829;18/05/2020;Vente;128000
5831;30/04/2020;Vente;452500
5832;04/05/2020;Vente;213000
5833;07/05/2020;Vente;269650
5834;20/05/2020;Vente;246800
5835;11/05/2020;Vente;156000
5836;26/05/2020;Vente;152750
5837;19/05/2020;Vente;86000
5838;15/05/2020;Vente;322200
5840;29/05/2020;Vente;98225
5842;05/05/2020;Vente;208663
5843;18/05/2020;Vente;141300
5845;15/05/2020;Vente;178250
5847;27/05/2020;Vente;110185
5848;29/05/2020;Vente;248700
5849;29/05/2020;Vente;251220
5850;20/05/2020;Vente;435000
5851;18/05/2020;Vente;130528
5852;25/05/2020;Vente;570000
5853;09/06/2020;Vente;88000
5854;29/05/2020;Vente;116000
5856;27/05/2020;Vente;155340
5857;29/05/2020;Vente;240000
5858;05/06/2020;Vente;157000
5859;13/05/2020;Vente;211000
5861;04/06/2020;Vente;167900
5862;14/05/2020;Vente;328760
5863;11/06/2020;Vente;263000
5864;25/05/2020;Vente;266050
5866;12/05/2020;Vente;120340
5867;18/05/2020;Vente;295590
5868;03/06/2020;Vente;163122,5
5869;10/06/2020;Vente;94000
5872;29/05/2020;Vente;104000
5873;19/05/2020;Vente;133190
5874;03/06/2020;Vente;138000
5875;26/05/2020;Vente;460000
5876;27/05/2020;Vente;148300
5877;05/06/2020;Vente;93500
5878;19/05/2020;Vente;111200
5880;03/06/2020;Vente;486340
5881;25/05/2020;Vente;598250
5882;15/06/2020;Vente;322989
5883;28/05/2020;Vente;332000
5885;20/05/2020;Vente;127000
5886;15/06/2020;Vente;235000
5887;16/06/2020;Vente;98900
5888;20/05/2020;Vente;232000
5889;27/05/2020;Vente;324923
5890;19/06/2020;Vente;490000
5891;29/05/2020;Vente;349000
5892;29/05/2020;Vente;68000
5893;12/06/2020;Vente;153846
5896;22/06/2020;Vente;174000
5897;05/06/2020;Vente;207500
5898;10/06/2020;Vente;100000
5899;04/06/2020;Vente;122670
5900;25/06/2020;Vente;255321
5902;24/06/2020;Vente;655800
5903;29/06/2020;Vente;40000
5904;22/06/2020;Vente;78000
5905;19/06/2020;Vente;184701
5906;25/06/2020;Vente;119500
5908;10/06/2020;Vente;255000
5909;26/06/2020;Vente;418000
5910;22/06/2020;Vente;325000
5912;12/06/2020;Vente;224700
5914;29/06/2020;Vente;166300
5916;10/06/2020;Vente;167000
5918;15/06/2020;Vente;350000
5920;19/06/2020;Vente;245000
5922;24/06/2020;Vente;360000
5923;29/06/2020;Vente;107510
5926;30/06/2020;Vente;124700
5927;25/06/2020;Vente;185960
5928;24/06/2020;Vente;234000
5930;20/05/2020;Vente;198350
5931;25/06/2020;Vente;162962
5932;30/04/2020;Vente;122480
5933;09/01/2020;Vente;138100
5934;20/01/2020;Vente;81000
5937;31/01/2020;Vente;152000
5940;23/01/2020;Vente;199000
5941;31/01/2020;Vente;100732
5942;23/01/2020;Vente;153000
5943;13/02/2020;Vente;205000
5945;19/02/2020;Vente;61000
5947;20/02/2020;Vente;139000
5951;30/04/2020;Vente;75000
5952;16/04/2020;Vente;275000
5959;20/05/2020;Vente;115800
5962;02/06/2020;Vente;124000
5963;29/05/2020;Vente;143500
5964;19/05/2020;Vente;156650
5965;18/05/2020;Vente;51000
5966;29/05/2020;Vente;55000
5967;19/06/2020;Vente;117000
5968;05/06/2020;Vente;75229
5970;19/06/2020;Vente;91000
5971;26/06/2020;Vente;168000
