ID_Adrese;ID_VF;No voie;Type de voie;Voie;Code postal;Commune
101;5731;53;RTE;DE REVEL;31400;TOULOUSE
102;5732;10;BD;PIERRE CURIE;31200;TOULOUSE
103;5733;2;RUE;DES LOIS;31000;TOULOUSE
104;5734;230;AV;DE CASTRES;31500;TOULOUSE
105;5735;5;AV;DU COMMANDANT TAILLANDIER;31500;TOULOUSE
106;5737;47;RUE;DU CHANT DU MERLE;31400;TOULOUSE
107;5738;15;AV;DE LA GARONNETTE;31000;TOULOUSE
108;5740;12;RUE;ESCOUSSIERES MONTGAILLARD;31000;TOULOUSE
109;5741;3;RUE;DES BOUQUETINS;31200;TOULOUSE
110;5742;15;BD;MONPLAISIR;31400;TOULOUSE
111;5743;24;RUE;SARAH BERNHARDT;31200;TOULOUSE
112;5745;13;RUE;SAINT HENRI;31000;TOULOUSE
113;5747;3;CHE;DE LIMAYRAC;31500;TOULOUSE
114;5748;8;AV;MAURICE HAURIOU;31000;TOULOUSE
115;5749;9;RUE;PAUL ESTIVAL;31200;TOULOUSE
116;5750;66;RUE;LOUIS VITET;31400;TOULOUSE
117;5751;1;RUE;PONS CAPDENIER;31500;TOULOUSE
118;5752;3;ALL;FORAIN F VERDIER;31000;TOULOUSE
119;5753;8;BD;D'ARCOLE;31000;TOULOUSE
120;5754;36;RUE;BOULBONNE;31000;TOULOUSE
121;5756;100;AV;CRAMPEL;31400;TOULOUSE
122;5757;17;IMP;SIMONE DE BEAUVOIR;31200;TOULOUSE
123;5758;24;RUE;DES ANGES;31200;TOULOUSE
124;5759;8;RUE;DARQUIER;31000;TOULOUSE
125;5760;23;RUE;ROQUELAINE;31000;TOULOUSE
126;5762;48;RUE;MONPLAISIR;31400;TOULOUSE
127;5767;5;RUE;MARTYRS DE LIBERATION;31400;TOULOUSE
128;5768;3;RUE;LEONCE CASTELBOU;31000;TOULOUSE
129;5769;18;RUE;DU DOCTEUR J ARLAUD;31500;TOULOUSE
130;5770;135;AV;DE LESPINET;31400;TOULOUSE
131;5771;30;RUE;ASSALIT;31500;TOULOUSE
132;5772;70;RUE;ST ROCH;31400;TOULOUSE
133;5773;64;BD;DES MINIMES;31200;TOULOUSE
134;5774;18;AV;DE LA COLONNE;31500;TOULOUSE
135;5775;11;RUE;CLEMENCE ISAURE;31000;TOULOUSE
136;5776;16;PL;SAINT GEORGES;31000;TOULOUSE
137;5777;77;CHE;DE LA SALADE PONSAN;31400;TOULOUSE
138;5778;72;BD;DE STRASBOURG;31000;TOULOUSE
139;5779;64;RUE;ERNEST RENAN;31200;TOULOUSE
140;5780;57;AV;DES MINIMES;31200;TOULOUSE
141;5781;216;RTE;DE NARBONNE;31400;TOULOUSE
142;5782;6;RUE;PERCHEPINTE;31000;TOULOUSE
143;5783;37;ALL;DE BRIENNE;31000;TOULOUSE
144;5784;17;RUE;EDMOND ROSTAND;31200;TOULOUSE
145;5785;7;RUE;CLAUZEL;31500;TOULOUSE
146;5786;11;BD;LAZARE CARNOT;31000;TOULOUSE
147;5787;46;BD;DE SUISSE;31200;TOULOUSE
